Categoria;Nome;IP;Status;Modo Acesso;Monitorar;SNMP;MAC;Marca;Modelo;S/N;Versão;Operação;Data Aquisição;POP;Latitude;Longitude
RADIO;AP 5.8 ANTONIO 02;;BRIDGE;WINBOX;Não;Não;4C:5E:0C:47:46:40;;;;;ATIVO;;;;
RADIO;AP 5.8 FLORES;;BRIDGE;WINBOX;Não;Não;00:00:00:00:00:58;;RB921GS-5HPacD r2;;6.46.4;ATIVO;;;-21.323.611;-42.135.833
RADIO;AP BOA NOVA;;NORMAL;WINBOX;Sim;Sim;C4:AD:34:35:2C:1D;Mikrotik;NetMetal 5 922UAGS-5HPacD;B7750BDB6AF5;6.43.16;INATIVO;;Serra da Prata;-21.644.170;-42.253.890
RADIO;AP DOVER;;BRIDGE;WINBOX;Não;Não;;;;;;ATIVO;;;;
RADIO;AP ESTRELA DALVA;10.22.65.37;NORMAL;WINBOX;Não;Não;E4:8D:8C:34:C4:47;;;;;ATIVO;;;-21.752.778;-42.464.444
RADIO;AP FAZENDA CACHOEIRA;;BRIDGE;WINBOX;Não;Não;F4:1E:57:F1:7D:BC;;;;;ATIVO;;;-21.353.890;-42.149.720
RADIO;AP JEAN CARLOS;10.255.15.2;NORMAL;WINBOX;Não;Não;C4:AD:34:32:1B:DE;Mikrotik;BaseBox 5 912UAG-5HPnD;B7CE0B46ED09;6.47.4;ATIVO;;;-21.231.110;-42.134.720
RADIO;AP PARAISO 01;;BRIDGE;WINBOX;Não;Não;08:55:31:2E:25:6C;;;;;ATIVO;;;-21.424.430;-42.089.469
RADIO;AP RADIO PM;;BRIDGE;WINBOX;Não;Não;D4:CA:6D:F7:74:54;;;;;ATIVO;;;-21.644.167;-42.253.889
RADIO;AP USINA;;BRIDGE;WINBOX;Não;Não;E4:8D:8C:96:05:C2;;;;;ATIVO;;;;
RADIO;AP VENTANIA;10.255.9.2;NORMAL;WINBOX;Sim;Sim;CC:2D:E0:41:8D:BF;Mikrotik;NetMetal 5 922UAGS-5HPacD;7F2608BCD86B;6.49.18;ATIVO;;Ventania;-21.338.056;-42.222.778
CONCENTRADOR;BNG HUAWEI;10.0.1.0;NORMAL;SSH;Sim;Não;;Huawei;;;;ATIVO;;Servidor Miracema;-21.404.368;-42.192.150
SERVIDOR;DNS GOOGLE;8.8.8.8;NORMAL;;Sim;Não;;;;;;ATIVO;;;;
ENERGIA;ENERGIA ESTRELA DALVA;45.235.85.13;NORMAL;WEB;Sim;Não;;;;;;ATIVO;;Loja Estrela Dalva;;
ENERGIA;ENERGIA LAJE DO MURIAÉ;45.235.84.18;NORMAL;WEB;Sim;Não;;;;;;ATIVO;;POP Laje do Muriaé;-21.214.444;-42.115.278
ENERGIA;ENERGIA MIRACEMA;45.235.87.8;NORMAL;WEB;Sim;Não;;;;;;ATIVO;;Servidor Miracema;-21.404.370;-42.192.150
ENERGIA;ENERGIA PADUA;45.235.86.13;NORMAL;WEB;Sim;Não;;;;;;ATIVO;;POP Santo Antônio de Pádua;-21.543.039;-42.181.425
ENERGIA;ENERGIA PALMA;45.235.84.17;NORMAL;WEB;Sim;Não;;;;;;ATIVO;;POP Palma;-21.374.922;-42.314.134
ENERGIA;ENERGIA PARAISO;45.235.84.12;NORMAL;WEB;Sim;Não;;;;;;ATIVO;;POP Paraíso do Tobias;-21.427.921;-42.099.269
ENERGIA;ENERGIA VENDA DAS FLORES;45.235.84.16;NORMAL;WEB;Sim;Não;;;;;;ATIVO;;;-21.335.000;-42.138.889
SERVIDOR;IXC;177.136.240.61;NORMAL;SSH;Sim;Sim;;;;;;ATIVO;;;;
ENERGIA;MORRO ESTRELA DALVA;45.235.84.23;NORMAL;WEB;Sim;Não;00:EB:D8:65:7D:F4;Mercusys;AC1200;;;ATIVO;;;-21.753.010;-42.464.700
SERVIDOR;PROXMOX;172.25.255.1;NORMAL;WEB;Sim;Sim;;;Generic x86 64-bit;;Linux pve 5.15.102-1-pve;ATIVO;;;-21.404.360;-42.192.130
RADIO;PTP AABB MIRACEMA;;BRIDGE;WINBOX;Não;Não;6C:3B:6B:59:42:8E;;;;;ATIVO;;;-21.393.500;-42.171.347
RADIO;PTP AGUA VIVA MORRO;;BRIDGE;WINBOX;Não;Não;00:00:00:00:00:88;;;;;ATIVO;;;-21.677.500;-42.544.700
RADIO;PTP AGUA VIVA SERRA;;BRIDGE;WINBOX;Não;Não;E4:8D:8C:16:4E:AC;;;;;ATIVO;;;-21.677.222;-42.534.722
RADIO;PTP ANTONIO DO OURO POP PARAISO;;BRIDGE;WINBOX;Não;Não;2C:C8:1B:F9:E1:6C;;;;;ATIVO;;;;
RADIO;PTP ARRAIAL JEAN;;BRIDGE;WINBOX;Não;Não;E4:8D:8C:E2:45:48;;;;;ATIVO;;;;
RADIO;PTP ESTRELA BEIRA LINHA;;BRIDGE;WINBOX;Não;Não;;;;;;ATIVO;;;-21.752.778;-42.464.444
RADIO;PTP FLORES ARRAIAL;10.255.12.5;NORMAL;WINBOX;Sim;Não;DE:22:6B:41:AC:00;;;;;ATIVO;;;;
RADIO;PTP FLORES DILTON;;BRIDGE;WINBOX;Não;Não;64:D1:54:42:F9:97;;;;;ATIVO;;;;
RADIO;PTP FLORES ONELIA;;BRIDGE;WINBOX;Não;Não;64:D1:54:3F:A7:23;;;;;ATIVO;;;-21.323.611;-42.135.833
RADIO;PTP FLORES X MIRACEMA;10.255.12.3;NORMAL;WINBOX;Sim;Não;4A:0B:BC:54:0C:FA;;;;;ATIVO;;;-21.323.611;-42.135.833
RADIO;PTP MIRACEMA - SERRA DA PRATA;10.254.8.4;NORMAL;WEB;Sim;Não;20:B5:C6:0F:FB:40;AIRSPAN;MIMOSA;4001857986;2.14.0;ATIVO;;;-21.404.360;-42.192.150
RADIO;PTP MIRACEMA DOVER;;BRIDGE;WINBOX;Não;Não;64:D1:54:43:4E:5E;;;;;ATIVO;;;-21.404.368;-42.192.150
RADIO;PTP MIRACEMA FLORES;10.255.12.2;NORMAL;WINBOX;Sim;Não;2A:E9:49:B3:AF:01;;;;;ATIVO;;;-21.404.368;-42.192.150
RADIO;PTP MIRACEMA GLAUCO;;BRIDGE;WINBOX;Não;Não;4C:5E:0C:5D:E3:32;;;;;ATIVO;;;-21.404.368;-42.192.150
RADIO;PTP MIRACEMA RENATA;;BRIDGE;WINBOX;Não;Não;64:D1:54:4D:F2:23;;;;;ATIVO;;;-21.404.368;-42.192.150
RADIO;PTP MIRACEMA X VENTANIA;10.255.8.4;NORMAL;WEB;Sim;Não;;;;;;ATIVO;;;-21.404.368;-42.192.150
RADIO;PTP MIRACEMA-AABB;;BRIDGE;WINBOX;Não;Não;CC:2D:E0:10:F9:F9;;;;;ATIVO;;;-21.404.368;-42.192.150
RADIO;PTP MORRO AGUA VIVA;;BRIDGE;WINBOX;Não;Não;64:D1:54:52:03:40;;;;;ATIVO;;;-21.677.222;-42.534.722
RADIO;PTP ONELIA FLORES;;BRIDGE;WINBOX;Não;Não;64:D1:54:AE:1F:C4;;;;;ATIVO;;;-21.354.440;-42.150.280
RADIO;PTP ONESIO VENTANIA;;BRIDGE;WINBOX;Não;Não;08:55:31:BD:7A:3A;;;;;ATIVO;;;;
RADIO;PTP PALMA ROMUALDO;;BRIDGE;WINBOX;Não;Não;08:55:31:C0:B2:02;;;;;ATIVO;;POP Palma;-21.374.922;-42.314.134
RADIO;PTP POP PARAISO ANTONIO DO OURO;;BRIDGE;WINBOX;Não;Não;08:55:31:BC:85:45;;;;;ATIVO;;POP Paraíso do Tobias;-21.427.921;-42.099.269
RADIO;PTP ROMUALDO PALMA;;BRIDGE;WINBOX;Não;Não;08:55:31:C1:5B:13;;;;;ATIVO;;;;
RADIO;PTP SERRA DA PRATA - MIRACEMA;;NORMAL;WEB;Sim;Não;;;;;;INATIVO;;Serra da Prata;-21.644.170;-42.253.890
RADIO;PTP TORRE CAMPESTRE;;BRIDGE;;Não;Não;;;;;;ATIVO;;;;
RADIO;PTP TORRE ESCOLA IRENE;;BRIDGE;WINBOX;Não;Não;4C:5E:0C:5D:E2:24;;;;;ATIVO;;;;
RADIO;PTP VENTANIA ADILSON;;BRIDGE;WINBOX;Não;Não;4C:5E:0C:1A:07:7E;;;;;ATIVO;;Ventania;-21.338.056;-42.222.778
RADIO;PTP VENTANIA ONESIO;;BRIDGE;WINBOX;Não;Não;08:55:31:BD:71:85;;;;;ATIVO;;Ventania;-21.338.056;-42.222.913
RADIO;PTP VENTANIA SYLVIO;;BRIDGE;WINBOX;Não;Não;64:D1:54:93:8D:C6;;;;;ATIVO;;Ventania;-21.338.056;-42.222.778
RADIO;PTP VENTANIA X MIRACEMA;10.255.8.5;NORMAL;WEB;Sim;Não;;;;;;ATIVO;;Ventania;-21.338.056;-42.222.778
ENERGIA;REDE ONELIA;45.235.86.15;NORMAL;WEB;Sim;Não;;;;;;ATIVO;;;-21.353.801;-42.149.913
OUTROS;SWITCH NEXUS;10.100.120.2;NORMAL;;Sim;Sim;;;;;;ATIVO;;;;
